Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),612.53,124.43,"1,109.11","1,107.30","1,100.07","1,092.67","1,067.06",611.63,164.43
Time To Second Token (ms),206.25,45.19,553.32,553.32,553.31,545.72,477.10,53.47,53.09
Request Latency (ms),"10,842.66","10,195.79","11,188.53","11,187.37","11,182.72","11,177.93","11,177.45","11,127.16","10,233.41"
Inter Token Latency (ms),47.15,43.03,51.20,51.08,50.63,50.13,48.07,46.62,46.29
Output Sequence Length (tokens),218.25,206.00,235.00,233.90,229.50,224.90,221.00,217.50,213.75
Input Sequence Length (tokens),"1,000.08","1,000.00","1,001.00","1,000.89","1,000.45","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),80.46
Request Throughput (per sec),0.37
Request Count (count),12.00
