Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),232.88,103.65,311.13,310.59,308.40,305.68,297.50,283.86,193.76
Time To Second Token (ms),46.12,43.14,48.47,48.43,48.30,48.13,47.62,46.77,44.95
Request Latency (ms),"47,795.29","47,584.81","47,928.96","47,927.82","47,923.27","47,917.59","47,900.53","47,872.09","47,728.45"
Inter Token Latency (ms),42.42,40.33,44.09,44.07,43.97,43.84,43.47,42.85,41.59
Output Sequence Length (tokens),"1,123.67","1,081.00","1,181.00","1,179.56","1,173.80","1,166.60","1,145.00","1,109.00","1,095.00"
Input Sequence Length (tokens),"1,000.33","1,000.00","1,001.00","1,000.98","1,000.90","1,000.80","1,000.50","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),23.51
Request Throughput (per sec),0.02
Request Count (count),3.00
