Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),32.15,26.81,51.83,49.32,39.29,33.83,33.34,31.14,28.65
Time To Second Token (ms),13.33,9.76,15.99,15.92,15.65,15.30,14.17,13.64,12.23
Request Latency (ms),"13,900.90","13,803.26","14,211.70","14,184.90","14,077.71","14,003.75","13,910.59","13,871.07","13,842.32"
Inter Token Latency (ms),12.47,9.41,13.85,13.84,13.82,13.71,13.00,12.55,12.20
Output Sequence Length (tokens),"1,122.07","1,003.00","1,465.00","1,427.06","1,275.30","1,192.40","1,146.50","1,106.00","1,074.50"
Input Sequence Length (tokens),"1,000.13","1,000.00","1,001.00","1,001.00","1,001.00","1,000.60","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),80.71
Request Throughput (per sec),0.07
Request Count (count),15.00
