,Time To First Token (ms),Time To Second Token (ms),Request Latency (ms),Inter Token Latency (ms),Output Sequence Length (tokens),Input Sequence Length (tokens),Output Token Throughput (per sec),Request Throughput (per sec),Request Count (count)
1B_level_1.1_1,29.3,4.69,906.15,4.24,208.18,100.08,229.57,1.1,39.0
1B_level_1.1_4,30.97,6.67,1090.28,5.11,209.55,100.1,758.48,3.62,129.0
1B_level_1.1_16,47.77,8.88,1333.56,6.12,212.17,100.1,2514.99,11.85,427.0
1B_level_1.1_32,99.31,12.35,1716.3,7.66,212.82,100.1,3856.48,18.12,679.0
1B_level_1.1_64,107.24,12.77,2424.85,11.07,211.29,100.1,5388.37,25.5,927.0
1B_level_1.1_128,409.42,47.61,4311.58,18.61,213.42,100.1,6165.18,28.89,1161.0
1B_level_1.2_1,17.96,4.82,466.92,4.22,108.18,200.08,231.34,2.14,76.0
1B_level_1.2_4,28.07,5.65,574.72,5.13,108.3,200.1,752.59,6.95,248.0
1B_level_1.2_16,50.67,7.25,725.56,6.36,107.4,200.1,2349.41,21.87,787.0
1B_level_1.2_32,86.31,10.46,934.22,7.98,107.68,200.1,3642.26,33.83,1230.0
1B_level_1.2_64,177.37,14.27,1367.24,11.18,107.9,200.1,4901.45,45.43,1663.0
1B_level_1.2_128,241.92,25.01,2285.68,19.26,107.63,200.1,5927.19,55.07,1994.0
1B_level_2.1_1,30.29,4.45,4375.89,4.52,961.5,200.12,219.67,0.23,8.0
1B_level_2.1_4,25.12,3.67,4922.09,5.1,961.43,200.11,755.04,0.79,28.0
1B_level_2.1_16,95.39,10.95,6278.86,6.41,972.21,200.1,2350.99,2.42,183.0
1B_level_2.1_32,93.69,15.33,7830.22,8.01,979.42,200.1,3662.71,3.74,135.0
1B_level_2.1_64,269.73,55.41,11523.86,11.84,953.9,200.11,4308.8,4.52,232.0
1B_level_2.1_128,319.56,24.75,20523.25,20.47,987.75,200.1,5536.77,5.61,419.0
1B_level_2.2_1,38.42,8.12,992.72,4.42,218.17,1000.08,219.61,1.01,36.0
1B_level_2.2_4,53.91,8.84,1179.22,5.23,217.24,1000.11,736.53,3.39,120.0
1B_level_2.2_16,64.79,8.68,1498.51,6.72,215.37,1000.1,2282.15,10.6,770.0
1B_level_2.2_32,145.01,22.47,1959.17,8.46,216.34,1000.1,3472.56,16.05,1189.0
1B_level_2.2_64,295.05,30.56,2998.65,12.65,215.82,1000.1,4475.5,20.74,1615.0
1B_level_2.2_128,374.76,40.88,6124.62,26.94,215.34,1000.1,4429.36,20.57,2292.0
1B_level_4_1,29.03,7.46,4271.6,4.48,947.75,1000.12,221.78,0.23,8.0
1B_level_4_4,45.64,7.83,5573.36,5.04,1110.67,1000.12,796.24,0.72,24.0
1B_level_4_16,119.7,27.06,7247.18,6.63,1082.78,1000.1,2306.87,2.13,97.0
1B_level_4_32,149.42,20.27,9389.83,8.8,1055.77,1000.1,2941.23,2.79,99.0
1B_level_4_64,245.25,32.84,16957.88,15.65,1074.95,1000.1,3847.39,3.58,388.0
1B_level_4_128,639.66,54.85,26966.11,24.94,1065.54,1000.1,4778.34,4.48,651.0
8B_level_1.1_1,25.87,12.75,2713.06,11.86,228.08,100.08,84.06,0.37,13.0
8B_level_1.1_4,32.71,13.7,2910.24,13.07,221.56,100.1,304.15,1.37,48.0
8B_level_1.1_16,71.72,16.03,3292.35,14.58,222.25,100.1,1077.84,4.85,160.0
8B_level_1.1_32,100.34,20.28,3981.49,17.63,222.15,100.1,1781.15,8.02,288.0
8B_level_1.1_64,176.63,41.25,5242.89,22.9,222.94,100.09,2436.21,10.93,402.0
8B_level_1.1_128,407.44,73.77,7856.35,33.8,222.05,100.1,3603.85,16.23,638.0
8B_level_1.2_1,26.85,12.88,2723.03,12.12,224.15,100.08,82.31,0.37,13.0
8B_level_1.2_4,32.94,13.34,2872.72,13.07,218.55,100.1,299.82,1.37,49.0
8B_level_1.2_16,68.15,15.64,3277.79,14.59,221.45,100.1,1080.03,4.88,160.0
8B_level_1.2_32,141.91,21.35,4052.57,17.8,221.27,100.1,1718.08,7.76,256.0
8B_level_1.2_64,158.86,26.31,5248.58,23.12,222.41,100.09,2489.16,11.19,385.0
8B_level_1.2_128,306.0,45.35,7440.83,32.51,221.23,100.1,3751.0,16.96,512.0
8B_level_2.1_1,38.85,13.98,13914.05,12.5,1111.33,200.33,79.87,0.07,3.0
8B_level_2.1_4,42.25,13.98,14797.19,13.25,1121.25,200.08,303.0,0.27,12.0
8B_level_2.1_16,86.98,17.78,17226.74,15.38,1123.6,200.1,1042.91,0.93,96.0
8B_level_2.1_32,90.11,24.36,21091.54,19.19,1100.87,200.1,1525.11,1.39,195.0
8B_level_2.1_64,233.29,37.43,28568.68,25.75,1106.84,200.09,2369.56,2.14,385.0
8B_level_2.1_128,362.3,42.63,42298.61,37.75,1119.99,200.09,3009.86,2.69,385.0
8B_level_2.2_1,74.09,16.25,2803.47,12.49,219.92,1000.08,78.44,0.36,12.0
8B_level_2.2_4,107.48,35.17,3138.33,13.82,220.67,1000.1,281.1,1.27,136.0
8B_level_2.2_16,86.38,21.19,3612.39,16.05,221.14,1000.1,951.31,4.3,465.0
8B_level_2.2_32,116.05,29.87,4575.2,20.31,220.98,1000.1,1543.62,6.99,992.0
8B_level_2.2_64,200.73,50.52,6318.11,27.86,221.07,1000.1,2227.51,10.08,1856.0
8B_level_2.2_128,429.84,77.05,9221.5,40.03,221.16,1000.1,3059.89,13.84,3200.0
8B_level_4_1,32.15,13.33,13900.9,12.47,1122.07,1000.13,80.71,0.07,15.0
8B_level_4_4,44.85,15.1,15079.06,13.74,1100.46,1000.11,291.86,0.27,56.0
8B_level_4_16,97.46,22.15,18825.28,16.8,1124.05,1000.09,954.95,0.85,176.0
8B_level_4_32,134.59,28.93,23973.95,21.52,1116.22,1000.1,1336.64,1.2,259.0
